郵便番号,都道府県名,住所,施設名,屋内外,適用エリア,13CH,14CH,15CH,16CH,17CH,18CH,19CH,20CH,21CH,22CH,23CH,24CH,25CH,26CH,27CH,28CH,29CH,30CH,31CH,32CH,33CH,34CH,35CH,36CH,37CH,38CH,39CH,40CH,41CH,42CH,43CH,44CH,45CH,46CH,47CH,48CH,49CH,50CH,51CH,52CH,53CH
001-0907,北海道,札幌市北区新琴似7条4-1-3,プラザ新琴似,屋内,大ホール,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
002-0858,北海道,札幌市北区屯田8条3-5-1,イトーヨーカドー屯田店,屋内,センターコート,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
002-8021,北海道,札幌市北区篠路1条1-1-10,ホーマック篠路店,屋外,駐車場,,,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,,,,,,,,,○,,○,,○
002-8043,北海道,札幌市北区東茨戸132,シャトレーゼ ガトーキングダム サッポロ,屋内,カベルネ,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
002-8043,北海道,札幌市北区東茨戸132,シャトレーゼ ガトーキングダム サッポロ,屋内,シャルドネ,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,,○,,○,,○
002-8072,北海道,札幌市北区あいの里2条3-8,あいの里西公園,屋外,多目的広場,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0000,北海道,札幌市白石区南郷通4-1-1,アサヒビール園　白石,屋内,はまなす館,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0002,北海道,札幌市白石区東札幌2条2-3-26,クライミングランドのぼのぼ,屋内,屋内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0003,北海道,札幌市白石区東札幌3条1-1-1,イーアス札幌店,屋内,店内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0006,北海道,札幌市白石区東札幌6条1-1-1,札幌コンベンションセンター,屋内,特別会議場、大ホール,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0006,北海道,札幌市白石区東札幌6条1-1-1,札幌コンベンションセンター,屋外,,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0011,北海道,札幌市白石区中央1条3-32,池田食品,屋内,屋内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0000,北海道,札幌市白石区南郷20丁目北1-23,fw.Scene,屋内,店内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0000,北海道,札幌市白石区南郷通1-4-12,株式会社エッチビーエス北海道舞台制作,屋内,事務所・倉庫,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0000,北海道,札幌市白石区本郷通3-北1-1,札幌市白石区民センター,屋内,区民ホール,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0030,北海道,札幌市白石区流通センター4-3-55,アクセスサッポロ,屋内,大展示場,,,,,,,,,,,,,,,,○,,○,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0030,北海道,札幌市白石区流通センター4-3-55,アクセスサッポロ,屋外,,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
003-0801,北海道,札幌市白石区菊水1条3-1-5,札幌総合情報センター,屋内,メディアMIXホール,,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0033,北海道,札幌市厚別区上野幌3条1-2-1,厚別公園競技場,屋外,,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0052,北海道,札幌市厚別区厚別中央2条5-7-2,サンピアザ劇場,屋内,ホール,,,,,,,,,,,,,,,○,○,,○,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0052,北海道,札幌市厚別区厚別中央2条5-5-25,ホテルエミシア札幌,屋内,中宴会場、大宴会場,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0052,北海道,札幌市厚別区厚別中央2条5-5-25,ホテルエミシア札幌,屋内,小宴会場,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0052,北海道,札幌市厚別区厚別中央2条5-5-25,ホテルエミシア札幌,屋内,披露宴会場,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,○,○,○
004-0839,北海道,札幌市清田区真栄434-1,日本医療大学 真栄キャンパス,屋内,体育館・講堂,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0839,北海道,札幌市清田区真栄434-1,日本医療大学 真栄キャンパス,屋外,,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0839,北海道,札幌市清田区真栄434-6,ノテ福祉会,屋内,1Ｆ,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0839,北海道,札幌市清田区真栄434-6,ノテ福祉会,屋外,,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0844,北海道,札幌市清田区清田4条1-4-1,札幌国際大学,屋外,グランド,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0872,北海道,札幌市清田区平岡2条5-3-10,レクランドゥルコルテ,屋内,店内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0873,北海道,札幌市清田区平岡3条5-3-1,イオン平岡,屋内,1Fテナント内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
004-0873,北海道,札幌市清田区平岡3条5-3-1,イオン平岡,屋内,2Fテナント内,,,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,,,,,,,○,,○,,○,○,○
004-0881,北海道,札幌市清田区平岡公園1-1,平岡公園,屋外,,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
005-0017,北海道,札幌市南区真駒内公園1-1,真駒内セキスイハイムアイスアリーナ,屋内,南ホール,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
005-0017,北海道,札幌市南区真駒内公園1-1,真駒内セキスイハイムアイスアリーナ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0022,北海道,札幌市南区真駒内柏丘7-8-1,北海道青少年会館コンパス,屋内,ホール,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,○,,○,,○,,○,,,,,,○,○,○
005-0000,北海道,札幌市南区南35条西11-3-11,(有）キタエンタープライズ,屋内,倉庫,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0806,北海道,札幌市南区川沿6条3-6-19,m-size事務所,屋内,事務所,,,,,,,,,,,,,,,,,,○,○,,,,,○,,,,,,,,,,,○,,,,,○,○
005-0862,北海道,札幌市南区滝野247,滝野すずらん丘陵公園,屋外,,,,,,○,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,○,,○,,○,○,○
005-0864,北海道,札幌市南区芸術の森2-75,札幌芸術の森,屋内,アリーナ,,,,,,,,,,,,,,,,○,,○,○,○,○,,,○,,,,,,,,,,,,,,,,○,○
005-0864,北海道,札幌市南区芸術の森2-75,札幌芸術の森,屋外,,,,,,,,,,,,,,,,,○,,○,○,○,,,,○,,,,,,,,,,,,,,,,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-6,ライフコートガーデン東館,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-5,ライフコートガーデン南館,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-10,ライフコート手稲,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条3-5-20,ライフコート手稲西,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,○,,○,,○,,○,○,○
006-0004,北海道,札幌市手稲区西宮の沢4条2-2-20,ライフコート西宮の沢,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○
006-0004,北海道,札幌市手稲区西宮の沢4条2-3-20,ライフコート宮の沢,屋内,食堂,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,○,○,○
006-0811,北海道,札幌市手稲区前田1条11,札幌市手稲区民センター,屋内,区民ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○
006-0817,北海道,札幌市手稲区前田7条15-4-1,北海道科学大学,屋外,講堂,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,○,,○
006-0832,北海道,札幌市手稲区曙2条1-2-46,手稲区体育館,屋内,競技室,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,○,○,○
007-0011,北海道,札幌市東区モエレ沼公園1-1,モエレ沼公園,屋内,ガラスのピラミッド,,,,,,,,,,,,,,,○,○,,,,,,,○,○,,,,,,,,,,,,,○,,○,○,○
007-0011,北海道,札幌市東区モエレ沼公園1-1,モエレ沼公園,屋外,ミュージックシェル,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0803,北海道,札幌市東区東苗穂3条2,東苗穂温泉千の湯,屋内,屋内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0805,北海道,札幌市東区東苗穂5条2-6-10,Audi札幌東,屋内,ショールーム,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0805,北海道,札幌市東区東苗穂5条2-5-19,Volkswagen札幌東,屋内,フォルクスワーゲン札幌東,,,,,,,,,,,,,,,○,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0852,北海道,札幌市東区栄町885-1,コミュニティードーム,屋内,屋内アリーナ,,,,,,,,,,,,,,,,○,,,,,,,,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
007-0880,北海道,札幌市東区丘珠町584-2,サッポロさとらんど,屋外,園内,,,,,,,,,,,,,,,,○,,,,,,,○,○,○,,○,,○,,○,,○,,○,,○,,○,○,○
040-0001,北海道,函館市五稜郭町37-8,函館市芸術ホール,屋内,ホール,,,,,,,,,○,,,,,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
040-0001,北海道,函館市五稜郭町37-8,函館市芸術ホール,屋外,,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋内,ロビー,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋内,ＮＣ,,,,,,,,,,,,,,,,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0033,北海道,函館市千歳町13-1,ＮＨＫ函館放送局,屋外,,,,,,,,,,○,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0044,北海道,函館市青柳町17-3,函館公園,屋外,,,,,,,,,,,,,,,,,○,○,○,,,,○,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
040-0053,北海道,函館市末広町14-12,金森ホール,屋内,ホール,,,,,,,,,,,,,,,○,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
040-0063,北海道,函館市若松町18-1,大門グリーンプラザ,屋外,Aブロック、Bブロック、Cブロック,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,○,,,,○,,○,,○,○,,○,○
040-0063,北海道,函館市若松町9,函館朝市,屋外,,,,,,,,,,,,,,,,,○,○,,○,,○,○,○,○,○,,○,,○,,○,,○,,○,○,○,○,○,○,○
041-0525,北海道,函館市日ノ浜町31-2,なとわ・えさん,屋外,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○,,,,,,,,,,○,,,,○
041-0806,北海道,函館市美原1-19-12,club COCOA,屋内,ステージ,,,,,,,,,,,,,,,,,○,,,,,○,○,○,○,,○,,○,,,,○,,○,○,○,○,○,○,○
041-1100,北海道,亀田郡七飯町字西大沼温泉,函館大沼プリンスホテル,屋内,プリンスホール,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,○,○,○,○,○
041-1111,北海道,亀田郡七飯町本町6-1-2,七飯町文化センター,屋内,パイオニアホール,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,○,○,,○,○
041-1400,北海道,茅部郡鹿部町字宮浜265-1,鹿部町総合体育館,屋内,アリーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○,○
041-1613,北海道,函館市臼尻町551-1,縄文ロマン南かやべ,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,○,,○
