name,type,frequency,tolerance,minfrequency,maxfrequency,priority,squelchlevel
TV 13,3,0,0,470000,476000,4,5
TV 14,3,0,0,476000,482000,4,5
TV 15,3,0,0,482000,488000,4,5
TV 16,3,0,0,488000,494000,4,5
TV 17,3,0,0,494000,500000,4,5
TV 18,3,0,0,500000,506000,4,5
TV 19,3,0,0,506000,512000,4,5
TV 20,3,0,0,512000,518000,4,5
TV 21,3,0,0,518000,524000,4,5
TV 22,3,0,0,524000,530000,4,5
TV 23,3,0,0,530000,536000,4,5
TV 24,3,0,0,536000,542000,4,5
TV 25,3,0,0,542000,548000,4,5
TV 26,3,0,0,548000,554000,4,5
TV 27,3,0,0,554000,560000,4,5
TV 28,3,0,0,560000,566000,4,5
TV 29,3,0,0,566000,572000,4,5
TV 30,3,0,0,572000,578000,4,5
TV 31,3,0,0,578000,584000,4,5
TV 32,3,0,0,584000,590000,4,5
TV 33,3,0,0,590000,596000,4,5
TV 34,3,0,0,596000,602000,4,5
TV 35,3,0,0,602000,608000,4,5
TV 36,3,0,0,608000,614000,4,5
TV 37,3,0,0,614000,620000,4,5
TV 38,3,0,0,620000,626000,4,5
TV 39,3,0,0,626000,632000,4,5
TV 40,3,0,0,632000,638000,4,5
TV 41,3,0,0,638000,644000,4,5
TV 42,3,0,0,644000,650000,4,5
TV 43,3,0,0,650000,656000,4,5
TV 44,3,0,0,656000,662000,4,5
TV 45,3,0,0,662000,668000,4,5
TV 46,3,0,0,668000,674000,4,5
TV 47,3,0,0,674000,680000,4,5
TV 48,3,0,0,680000,686000,4,5
TV 49,3,0,0,686000,692000,4,5
TV 50,3,0,0,692000,698000,4,5
TV 51,3,0,0,698000,704000,4,5
TV 52,3,0,0,704000,710000,4,5
TV 53,3,0,0,710000,714000,4,5
Blocked,3,0,0,714000,798000,4,5
